game,feature,abs_corr,signed_corr,missing_rate,nonzero_rate
ApexSpeed,[general]score,0.22167196142036047,0.22167196142036047,0.0,0.9378653928418651
ApexSpeed,player_score,0.22167196142036047,0.22167196142036047,0.0,0.9378653928418651
ApexSpeed,visible_bot_count,0.20301181926084771,-0.20301181926084771,0.0,0.18702766291173534
ApexSpeed,[general]bot_count,0.20301181926084771,-0.20301181926084771,0.0,0.18702766291173534
ApexSpeed,[general]bot_diversity,0.19843112034278437,-0.19843112034278437,0.0,0.18702766291173534
ApexSpeed,bot_player_distance,0.15804010972577817,-0.15804010972577817,0.0,0.18702766291173534
ApexSpeed,[general]event_intensity,0.11499243106683074,0.11499243106683074,0.0,0.7000035648082134
ApexSpeed,[general]bot_movement,0.10989630687226253,-0.10989630687226253,0.0,0.18702766291173534
ApexSpeed,[general]player_movement,0.09201121764122408,0.09201121764122408,0.0,0.9978789391130757
ApexSpeed,[general]event_diversity,0.08644443730737031,0.08644443730737031,0.0,0.7000035648082134
Endless,[general]player_movement,0.4063493184358511,0.4063493184358511,0.0,0.9789148974777717
Endless,player_score,0.3724107268180359,0.3724107268180359,0.0,0.9731990564325894
Endless,[general]score,0.3724107268180359,0.3724107268180359,0.0,0.9731990564325894
Endless,[general]bot_movement,0.25046267003205186,0.25046267003205186,0.0,0.6375975322083106
Endless,bot_health,0.10037128970855375,0.10037128970855375,0.0,0.6374160769370351
Endless,[general]bot_diversity,0.06619644880165856,0.06619644880165856,0.0,0.6375975322083106
Endless,[general]event_intensity,0.06248767166892404,0.06248767166892404,0.0,0.6242787152966793
Endless,[general]event_diversity,0.0614081269989567,0.0614081269989567,0.0,0.6242787152966793
Endless,bot_player_distance,0.05609359002990044,0.05609359002990044,0.0,0.6375975322083106
Endless,[general]bot_count,0.05249549359714581,0.05249549359714581,0.0,0.6375975322083106
Heist!,player_score,0.4073304204718419,0.4073304204718419,0.0,0.8711346899404552
Heist!,[general]score,0.4073304204718419,0.4073304204718419,0.0,0.8711346899404552
Heist!,player_health,0.25077271803613593,-0.25077271803613593,0.0,0.9673338403606077
Heist!,[general]event_intensity,0.15176647409656582,0.15176647409656582,0.0,0.7164851880020033
Heist!,[general]event_diversity,0.15079729475465714,0.15079729475465714,0.0,0.7164851880020033
Heist!,bot_health,0.129405760671983,-0.129405760671983,0.0,0.47620990929158397
Heist!,[general]bot_count,0.11911692289280969,-0.11911692289280969,0.0,0.47620990929158397
Heist!,visible_bot_count,0.11911692289280969,-0.11911692289280969,0.0,0.47620990929158397
Heist!,[general]input_intensity,0.08964595868984482,0.08964595868984482,0.0,0.7624329889257824
Heist!,key_press_count,0.08964595868984482,0.08964595868984482,0.0,0.7624329889257824
Pirates!,[general]score,0.2879216999090839,0.2879216999090839,0.0,0.8683988979029542
Pirates!,player_score,0.2879216999090839,0.2879216999090839,0.0,0.8683988979029542
Pirates!,[general]object_diversity,0.11041818627750169,0.11041818627750169,0.0,0.5912291443440992
Pirates!,[general]object_intensity,0.10534641442293588,0.10534641442293588,0.0,0.5912291443440992
Pirates!,[general]bot_count,0.09800615729518869,0.09800615729518869,0.0,0.5479680085718659
Pirates!,visible_bot_count,0.09800615729518869,0.09800615729518869,0.0,0.5479680085718659
Pirates!,[general]bot_diversity,0.08180295455041565,0.08180295455041565,0.0,0.5479680085718659
Pirates!,bot_health,0.07860812820781027,0.07860812820781027,0.0,0.5476810041328639
Pirates!,[general]event_diversity,0.05056823818485623,0.05056823818485623,0.0,0.7543624674728302
Pirates!,[general]event_intensity,0.04824144672469558,0.04824144672469558,0.0,0.7543624674728302
Run'N'Gun,player_score,0.4248505568995029,0.4248505568995029,0.0,0.8794141726553261
Run'N'Gun,[general]score,0.4248505568995029,0.4248505568995029,0.0,0.8794141726553261
Run'N'Gun,[general]bot_diversity,0.2735041661547292,0.2735041661547292,0.0,0.8319476030201037
Run'N'Gun,player_health,0.2532682420184553,-0.2532682420184553,0.0,0.9246611480032748
Run'N'Gun,[general]bot_count,0.16556227924915434,0.16556227924915434,0.0,0.8319476030201037
Run'N'Gun,visible_bot_count,0.16556227924915434,0.16556227924915434,0.0,0.8319476030201037
Run'N'Gun,bot_health,0.10094014073191637,0.10094014073191637,0.0,0.830619485126899
Run'N'Gun,bot_player_distance,0.08951401818367989,0.08951401818367989,0.0,0.8319476030201037
Run'N'Gun,[general]event_diversity,0.0891817197229479,0.0891817197229479,0.0,0.8167925043209315
Run'N'Gun,[general]event_intensity,0.07461025733947466,0.07461025733947466,0.0,0.8167925043209315
Shootout,[general]bot_count,0.5127041968829938,0.5127041968829938,0.0,0.9714484410617007
Shootout,visible_bot_count,0.5127041968829938,0.5127041968829938,0.0,0.9714484410617007
Shootout,[general]score,0.4777067668361842,0.4777067668361842,0.0,0.949716029826527
Shootout,player_score,0.4777067668361842,0.4777067668361842,0.0,0.949716029826527
Shootout,[general]event_diversity,0.23419025434838145,0.23419025434838145,0.0,0.9711393578796894
Shootout,[general]event_intensity,0.18747178696097538,0.18747178696097538,0.0,0.9711393578796894
Shootout,bot_health,0.17852595157304496,0.17852595157304496,0.0,0.9714484410617007
Shootout,[general]bot_diversity,0.17724406886874677,0.17724406886874677,0.0,0.9714484410617007
Shootout,player_damaged,0.08944813409895284,0.08944813409895284,0.0,0.07462427075686744
Shootout,player_kill_count,0.05021168700638333,0.05021168700638333,0.0,0.12305374183827222
Solid,[general]score,0.3029067769577891,0.3029067769577891,0.0,0.9155528099142611
Solid,player_score,0.3029067769577891,0.3029067769577891,0.0,0.9155528099142611
Solid,[general]player_movement,0.14837838179785162,0.14837838179785162,0.0,0.9931670972331423
Solid,visible_bot_count,0.1241463499994239,-0.1241463499994239,0.0,0.4316148114867648
Solid,[general]bot_count,0.1241463499994239,-0.1241463499994239,0.0,0.4316148114867648
Solid,[general]activity,0.1208189509238843,0.1208189509238843,0.0,0.9694672207870006
Solid,idle_time,0.12081895092388427,-0.12081895092388427,0.0,0.07577969972668389
Solid,[general]bot_diversity,0.11177860125065335,-0.11177860125065335,0.0,0.4316148114867648
Solid,[general]event_intensity,0.10507978645695612,0.10507978645695612,0.0,0.3043356172076828
Solid,[general]event_diversity,0.10126091326689,0.10126091326689,0.0,0.3043356172076828
TinyCars,[general]score,0.1717431271171507,0.1717431271171507,0.0,0.953834486681202
TinyCars,player_score,0.1717431271171507,0.1717431271171507,0.0,0.953834486681202
TinyCars,[general]activity,0.12990666816272248,0.12990666816272248,0.0,0.9603943501753721
TinyCars,idle_time,0.1299066681627224,-0.1299066681627224,0.0,0.09566783581382121
TinyCars,[general]player_movement,0.098987392480299,0.098987392480299,0.0,0.9691345151199166
TinyCars,[general]input_intensity,0.08346158191401301,0.08346158191401301,0.0,0.9602237178879515
TinyCars,key_press_count,0.08346158191401301,0.08346158191401301,0.0,0.9602237178879515
TinyCars,visible_bot_count,0.055121682423116915,-0.055121682423116915,0.0,0.45014693335861217
TinyCars,[general]bot_count,0.055121682423116915,-0.055121682423116915,0.0,0.45014693335861217
TinyCars,[general]bot_diversity,0.04875267166737575,-0.04875267166737575,0.0,0.44100862641008626
TopDown,[general]score,0.47938803879898284,0.47938803879898284,0.0,0.8505316811670621
TopDown,player_score,0.47938803879898284,0.47938803879898284,0.0,0.8505316811670621
TopDown,player_health,0.3015838079485166,-0.3015838079485166,0.0,0.9435099745144565
TopDown,[general]event_intensity,0.1961818311688361,0.1961818311688361,0.0,0.4403901924597944
TopDown,[general]event_diversity,0.17064327606152213,0.17064327606152213,0.0,0.4403901924597944
TopDown,visible_bot_count,0.16789239018155203,-0.16789239018155203,0.0,0.7674839616838035
TopDown,[general]bot_count,0.16789239018155203,-0.16789239018155203,0.0,0.7674839616838035
TopDown,bot_health,0.16227216429802685,-0.16227216429802685,0.0,0.7669390983390456
TopDown,[general]input_diversity,0.15348142119897365,0.15348142119897365,0.0,0.8862465946040953
TopDown,[general]input_intensity,0.1511263117545346,0.1511263117545346,0.0,0.8862465946040953
